,id,Beds,Baths,Balconies, Covered Parking,Carpet Area,Developer,Project,Status,Facing,Lifts,Furnished Status,Car parking,Age of Construction,Rental Value,Security Deposit,Address,Landmarks,Furnishing,Flooring,Overlooking,Additional Rooms,Water Availability,Status of Electricity,Lift,Num of Amenities,Floor,Balcony,Super Built-up Area,Type of Ownership,Authority Approval,Bed,RERA ID,Bath,Floors allowed for construction
0,4d423639373535353133,2,2,2,1 ,906,Kalpataru Ltd.,Kalpataru Radiance,Immediately,East,6,Unfurnished,1 Covered,New Construction,"₹85,000",₹4.0 LacPay Zero Deposit,"Goregaon West, Mumbai, Goregaon West, Mumbai - Western Mumbai, Maharashtra",Near Prabodhan Ground,Unfurnished,Marble,"Garden/Park, Main Road",Puja Room,24 Hours Available,No/Rare Powercut,6,23,,,,,,,,,
1,4d423731363434373835,2,2,,1 ,788,L&T Realty,L&T Emerald Isle,Immediately,North - East,3,Semi-Furnished,,5 to 10 years,"₹85,000",₹2.0 LacPay Zero Deposit,"Sakivihar, Powai, Powai, Mumbai - Central Mumbai, Maharashtra",Mogra metro A M Naik schl Hiranandani hospital Kanjurmarg railway near,Semi-Furnished,Vitrified,"Garden/Park, Main Road",Store,24 Hours Available,No/Rare Powercut,3,27,15 (Out of 26 Floors),,,,,,,,
2,4d423635363735373833,4,5,,4 ,3875,K Raheja Corp,K Raheja Artesia,Immediately,North - East,6,Furnished,,Less than 5 years,₹13 Lac,₹80.0 LacPay Zero Deposit,"Raheja Artesia, Worli, Mumbai - South Mumbai, MaharashtraMove your household goods.Packers and Moversstarting at ₹ 3900/-",near tv tower,Furnished,"Marble, Wooden","Pool, Garden/Park","Puja Room, Study, Store, Servant Room",24 Hours Available,No/Rare Powercut,6,11,20 (Out of 50 Floors),1,,,,,,,
3,4d423730343435323233,3,3,,1 ,880,DOSTI REALTY,Dosti Acres,Immediately,East,3,Semi-Furnished,1 Covered,10 to 15 years,"₹75,000 | ₹6,000 Monthly Maintenance",₹2.0 LacPay Zero Deposit,"Wadala, Mumbai, Wadala, Mumbai - South Mumbai, Maharashtra",Dosti Acers Wadala East,Semi-Furnished,"Ceramic Tiles, Marble, Wooden","Garden/Park, Pool, Main Road",None of these,24 Hours Available,No/Rare Powercut,3,21,12 (Out of 24 Floors),,,,,,,,
4,4d423730383338363333,4,5,,1 ,1600,Kamal Joshi Group,KJ Takshashila,Immediately,East,4,Unfurnished,,Less than 5 years,₹1.3 Lac,₹5.0 LacPay Zero Deposit,"KJ Takshashila, L.T. Road, Mulund West, Mumbai- 400078, Mulund West, Mumbai - Central Mumbai, MaharashtraMove your household goods.Packers and Moversstarting at ₹ 3900/-",Its Near to all Basic Needs like all are just a call away.,Unfurnished,Vitrified,Garden/Park,Store,24 Hours Available,No/Rare Powercut,4,12,19 (Out of 25 Floors),,,,,,,,
5,4d423731313536363231,3,3,3,,1250,Runwal Developers,Runwal Bliss,Immediately,West,,Unfurnished,,New Construction,"₹83,000",₹3.0 LacPay Zero Deposit,"Runwal Bliss, near Kanjurmarg Railway Station, Crompton Greaves Compound, Maharashtra, Kanjurmarg East, Mumbai, Maharashtra, Kanjurmarg East, Mumbai - Central Mumbai, MaharashtraMove your household goods.Packers and Moversstarting at ₹ 3900/-",near Kanjurmarg Railway Station,Unfurnished,Vitrified,Garden/Park,Store,,,,42,39 (Out of 50 Floors),,,,,,,,
6,4d423731323132393131,2,2,2,1 ,850,Dudhwala Constructions,Proxima,Immediately,North,2,Unfurnished,1 Covered,New Construction,"₹76,999",₹3.0 LacPay Zero Deposit,"Marol naka, Andheri East, Mumbai - Western Mumbai, MaharashtraMove your household goods.Packers and Moversstarting at ₹ 3900/-",Its nearby T2 inernational airport and Andheri kurla road.,Unfurnished,Vitrified,Pool,,,,,23,,,,,,,,,
7,4d423731353930383839,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
8,4d423731313632323439,3,2,,,,CCI Projects Pvt. Ltd.,Rivali Park,Immediately,East,,Semi-Furnished,,5 to 10 years,"₹85,000 | ₹14,000 Yearly Maintenance",₹4.0 LacPay Zero Deposit,"borivali East, Borivali East, Mumbai - Western Mumbai, Maharashtra",metro station,Semi-Furnished,,"Pool, Garden/Park, Main Road",Study,,,,23,7 (Out of 11 Floors),1,1015sqftsqftsqyrdsqmacrebighahectaremarlakanalbiswa1biswa2groundaankadamroodchatakkottahmarlacentperchgunthaarekathagajkillakuncham₹84/sqft,Freehold,,,,,
9,4d423639303936353439,2,2,,,775,Ekta World,Ekta Tripolis,Immediately,West,2,Semi-Furnished,1 Open,,"₹75,000 | ₹5 Monthly Maintenance",₹2.0 LacPay Zero Deposit,"BEST nagar goregaon west, Goregaon West, Mumbai - Western Mumbai, MaharashtraMove your household goods.Packers and Moversstarting at ₹ 3900/-",near SV road Goregoan west mumbai,Semi-Furnished,"Vitrified, Ceramic Tiles",Main Road,,,,,11,8 (Out of 35 Floors),1,,,,,,,
